Date,From,To,Business purpose,Odometer start,Odometer end,Business miles,Personal miles,Rate ($ per mile),Deduction ($),Parking & tolls ($),Notes
2026-03-14,Home office,"Acme Corp, 120 Main St",Client meeting — Q2 contract,41230,41252,22,0,0.725,=G2*I2,0,Rate to 30 Jun 2026: 0.725
2026-07-08,Home office,"Bank, then post office",Deposit cheques; ship samples,42011,42019,8,0,0.76,=G3*I3,4.5,Rate from 1 Jul 2026: 0.76
,,,,,,,,,=G4*I4,,
,,,,,,,,,=G5*I5,,
,,,,,,,,,=G6*I6,,
,,,,,,,,,=G7*I7,,
,,,,,,,,,=G8*I8,,
,,,,,,,,,=G9*I9,,
,,,,,,,,,=G10*I10,,
,,,,,,,,,=G11*I11,,
,,,,,,,,,=G12*I12,,
,,,,,,,,,=G13*I13,,
,,,,,,,,,=G14*I14,,
,,,,,,,,,=G15*I15,,
,,,,,,,,,=G16*I16,,
,,,,,,,,,=G17*I17,,
,,,,,,,,,=G18*I18,,
,,,,,,,,,=G19*I19,,
,,,,,,,,,=G20*I20,,
,,,,,,,,,=G21*I21,,
,,,,,,,,,=G22*I22,,
,,,,,,,,,=G23*I23,,
,,,,,,,,,=G24*I24,,
,,,,,,,,,=G25*I25,,
,,,,,,,,,=G26*I26,,
,,,,,,,,,=G27*I27,,
,,,,,,,,,=G28*I28,,
,,,,,,,,,=G29*I29,,
TOTAL,,,,,,=SUM(G2:G29),=SUM(H2:H29),,=SUM(J2:J29),=SUM(K2:K29),Year-start odometer: ____   Year-end odometer: ____
